P1.01/2.4B	0.66	1.08	0.00	NORDIC_NRF_4_NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
Q1	12.10	3.56	0.00	20V/4.2A/52mΩ/1.4W	ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2	15.11	-9.74	180.00	ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3	ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R1	21.29	1.45	0.00	10K	CPF0201D7K68C1_0201
R10	17.65	-8.07	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R11	-9.29	-10.25	180.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R12	-2.15	-10.05	180.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R13	6.01	-10.05	0.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R14	1.33	14.05	180.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R15	-1.63	10.35	180.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R2	15.95	10.95	0.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R3	13.41	10.95	0.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R4	16.05	13.77	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R5	13.75	13.53	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R6	16.61	-12.05	180.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R7	14.25	0.85	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R8	-3.05	8.21	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R9	18.65	-9.37	270.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
SJ1	19.02	-12.08	90.00	0	ESP32_C6_LIBRARY_7_JUMPER_SJ
SW1	-10.75	-12.52	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW2	0.25	-12.52	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW3	11.35	-12.52	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3V3	14.90	4.60	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	16.73	16.38	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	13.62	16.38	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA1	2.09	-8.51	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA10	-5.30	-13.90	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA2	4.95	-8.55	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA3	11.45	0.70	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA4	-19.97	11.66	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA5	5.75	-6.42	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA6	5.49	-13.70	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA7	20.89	-6.02	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA8	20.51	-8.52	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA9	-1.09	-8.52	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	21.25	4.28	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U1	-4.75	-7.44	180.00	ESP32_C6_LIBRARY_MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	8.46	3.34	0.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
X2	-6.74	3.86	90.00	32.768KHz	NORDIC_NRF_1_XTAL_3215_N
